filename	prediction	confidence	status
Memory.mp3	その他	-2.708377574146898	ok
BOOWY 【BEAT EMOTION】　09  RAIN IN MY HEART　vinyl   ハイレゾ.mp3	その他	-1.4999147407554796	ok
BOOWY 【BEAT EMOTION】05  DON'T ASK ME　 vinyl   ハイレゾ.mp3	その他	-1.7106461485341984	ok
BOOWY 【BEAT EMOTION】　06 B・E・L・I・E・V・E　vinyl   ハイレゾ.mp3	その他	-1.1761032228219153	ok
BOOWY 【BEAT EMOTION】　12 SENSITIVE LOVE　 vinyl   ハイレゾ.mp3	その他	-1.4656558855307145	ok
Liar Girl.mp3	その他	-3.1184493173598673	ok
Celluloid Doll.mp3	その他	-2.4294654167545104	ok
BOOWY 【BEAT EMOTION】04  BEAT SWEET　 vinyl   ハイレゾ.mp3	その他	-1.4836330518693583	ok
BOOWY 【BEAT EMOTION】  01 B・Blue 　 vinyl   ハイレゾ.mp3	その他	-1.7944270547529915	ok
BOOWY 【BEAT EMOTION】03 RUNAWAY TRAIN　 vinyl   ハイレゾ.mp3	その他	-1.625159366428308	ok
BOOWY 【BEAT EMOTION】　10 DRAMATIC  DRASTIC　 vinyl   ハイレゾ.mp3	その他	-1.3523306061071447	ok
BOOWY 【BEAT EMOTION】　08  DOWN TOWN SHUFFLE　 vinyl   ハイレゾ.mp3	その他	-1.8091968095019035	ok
Rendez-Vous (Live In Hamburg July 1987).mp3	その他	-2.847346759023388	ok
BOOWY 【BEAT EMOTION】　07  SUPER CALIFRAGILISTIC EXPIARI DOCIOUS　vinyl   ハイレゾ.mp3	その他	-1.0000008374090683	ok
BOOWY 【BEAT EMOTION】05  DON'T ASK ME　 vinyl   ハイレゾ-vocals-A minor-140bpm-445hz.mp3	ボーカル音声	3.1613337720762855	ok
BOOWY 【BEAT EMOTION】　11 OUR REVOLUTION　 vinyl   ハイレゾ.mp3	その他	-1.467423112551106	ok
Plastic Bomb.mp3	その他	-3.380311876096557	ok
BOOWY 【BEAT EMOTION】　02 ONLY YOU　 vinyl   ハイレゾ.mp3	その他	-1.7058159612813375	ok
Angel Passed Children.mp3	その他	-2.9271918189064516	ok
Longer Than Forever.mp3	その他	-2.859393112689942	ok
Marionette.mp3	その他	-2.861069682264646	ok
Psychopath.mp3	その他	-2.2474382480940673	ok
Gigolo & Gigolet.mp3	その他	-3.0280327787959473	ok
Fantastic Story.mp3	その他	-2.4220713380768006	ok
Kisetsu Ga Kimi Dake Wo Kaeru.mp3	その他	-2.7119637780521297	ok
